Item Name,Category,Rarity,Coin Price,Premium Price,Override,Dollar Price,Store(s),In Daily,In Weekly,In Static,Asset Created,Asset ID,Code Created,Cosmetic ID,Reviewed,Complete,Active,Description,Tooltip ID
Storm Cloud,Aura,Uncommon,750,200,---,$ 4.00 ,particleStore,TRUE,TRUE,FALSE,In Progress,,No,Storm Cloud,No,No,FALSE,A White cloud on the top of the player with a lightning blot coming out. Rain particles fall from the cloud on the back as well.,
Armor of Darkness,Aura,Uncommon,750,200,---,$ 4.00 ,particleStore,TRUE,TRUE,FALSE,In Progress,,No,Armor of Darkness,No,No,FALSE,Black and grey shadows surround the player and dance around like an aura. Similar shadows faintly trail behind the player when moving.,
MCC Coin,Aura,Uncommon,750,200,---,$ 4.00 ,particleStore,TRUE,TRUE,FALSE,Yes,,In Progress,MCC Coin,No,No,FALSE,"Occasionally, MCC Coins float around the player and wink in-and-out of existence.",
Angry!,Augment,Uncommon,750,150,---,$ 3.00 ,particleStore,TRUE,TRUE,FALSE,Yes,,In Progress,Angry!,No,No,FALSE,"Every few seconds, smoke billows out of the player's ears, and their head increases in size slightly.",
Chicken,Aura,Rare,"1,95",400,---,$ 8.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Chicken,No,No,FALSE,Feathers occasionally flutter around the player.,
Dizzy,Aura,Rare,"1,95",400,---,$ 8.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Dizzy,No,No,FALSE,Spirals and spell particles gently float over your head. Maybe you're drunk.,
Cuckoo,Aura,Epic,"3,375",800,---,$ 16.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Cuckoo,No,No,FALSE,A yellow bird circles around the player's head.,
Tornado,Aura,Epic,"3,375",800,---,$ 16.00 ,particleStore,TRUE,TRUE,FALSE,Yes,,In Progress,Tornado,No,No,FALSE,A spiral of air surrounds the player and lifts nearby blocks of earth into its vortex.,
Angel Wings,Aura,Epic,"3,375",800,---,$ 16.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Angel Wings,No,No,FALSE,White Particles in the shape of Angle Wings on the back of the player,
Devil Wings,Aura,Epic,"3,375",800,---,$ 16.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Devil Wings,No,No,FALSE,Red Particles in the shape of Devil Wings on the back of the player,
Super Jump,Augment,Uncommon,750,150,---,$ 3.00 ,particleStore,TRUE,TRUE,FALSE,Yes,,In Progress,Super Jump,No,No,FALSE,A small explosion occurrs at your feet whenever you jump,
Concentrating,Augment,Uncommon,750,150,---,$ 3.00 ,particleStore,TRUE,TRUE,FALSE,Yes,,In Progress,Concentrating,No,No,FALSE,"When crouching, the player collects energy from the air! (Enchanting table effect)",
Off to the Races,Augment,Uncommon,750,150,---,$ 3.00 ,particleStore,TRUE,TRUE,FALSE,Yes,,In Progress,Off to the Races,No,No,FALSE,"When you start running, a cloud of dust spawns at your location as you blast off! This only appears when you start running and not as you continue running.",
Thinking,Augment,Uncommon,750,150,---,$ 3.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Thinking,No,No,FALSE,"After standing still for 3 seconds, a thought bubble slowly forms above your character. The bubble takes 3 seconds to fully form and lasts 3 seconds before it despawns and the process repeats.",
Greensprout,Augment,Rare,"1,95",300,---,$ 6.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Greensprout,No,No,FALSE,"When sprinting, flowers spring up in your wake! (Similar to the player's sprinting in the game Okami)",
Shooting Star,Augment,Rare,"1,95",300,---,$ 6.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Shooting Star,No,No,FALSE,"When falling 3 or more blocks, a red aura surrounds you making you look like a meteor falling from orbit! Wind resistance lines go around your feet to your head. Hitting the ground causes an explosion effect.",
Cleaver,Augment,Epic,"4,5",600,---,$ 12.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Cleaver,No,No,FALSE,"Occasionally, your left click will cause a Cleave animation to play rather than a simple punch. (1/3 of the time)",
Rainbow Trail,Augment,Epic,"4,5",600,---,$ 12.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Rainbow Trail,No,No,FALSE,"When sprinting, leave a bright rainbow trail incridibly similar to that of Nyan Cat",
Block of Ice,Augment,Legendary,12,1,---,$ 20.00 ,particleStore,TRUE,TRUE,FALSE,No,,No,Block of Ice,No,No,FALSE,"When stationary for more than 5 seconds, your space is occupied by ice blocks, making you look frozen solid. The blocks break the second you move from your spot.",
Arrows,Back,Common,250,50,Premium Only,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Arrows,No,No,FALSE,"Several arrows are sticking out of your back, making it look like you were just shot several times.",
Shark Fin,Back,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Shark Fin,No,No,FALSE,Triangular shark fin on your back. Will hopefully look pretty cool while you're swimming.,
Graded Exam,Back,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Graded Exam,No,No,FALSE,Giant paper with black scribbles on it. a graded 'A+' is visible in red on the top-right corner.,
Backpack,Back,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Backpack,No,No,FALSE,A brownish-tan backpack with a red MCC logo stitched into it.,
Jetpack,Back,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Jetpack,No,No,FALSE,"A jetpack that, sadly, doesn't function. Identical in appearance to the Jetpack gadget.",
Wooden Sword,Back,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Wooden Sword,No,No,FALSE,A wooden sword is straped to your back. Maybe a leafy twig is sprouting from the sword?,
Sword,Back,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Sword,No,No,FALSE,An iron sword is strapped to your back. Maybe it has a cool sheath?,
Champion Cape,Back,Epic,"2,25",300,---,$ 6.00 ,accessoryStore,FALSE,FALSE,TRUE,No,,No,Champion Cape,No,No,FALSE,A red cape with the Noxcrew logo emblazoned upon it.,
Witcher,Back,Epic,"2,25",300,---,$ 6.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Witcher,No,No,FALSE,Two swords are strapped to your back. Both have sheaths and fit diagonally protruding over your right shoulder.,
ELL Cape,Back,Legendary,"7,2",600,---,$ 12.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,ELL Cape,No,No,FALSE,A red/gold (Noxcrew Colors) cape with EpicLandLord's Minecraft character Head in the center. Apartment Upgrade reqard.,
Kitsune,Back,Legendary,"7,2",600,---,$ 12.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Kitsune,No,No,FALSE,"A fox tail extending from your character. Every consecutive hour of server time you have this equipped, grow an additional tail (up to 9).",
Terra Swoop Force Wings,Back,Legendary,"7,2",600,---,$ 12.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Terra Swoop Force Wings,No,No,FALSE,TSF Wings that have no functionality--but they look like the Terra Swoop Force wings.,
Red Cape,Back,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Red Cape,No,No,FALSE,A classic cape in solid red. Red Rabbit Loyalty reward.,
Orange Cape,Back,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Orange Cape,No,No,FALSE,A classic cape in solid orange. Orange Ocelot Loyalty reward.,
Yellow Cape,Back,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Yellow Cape,No,No,FALSE,A classic cape in solid yellow. Yellow Yak Loyalty reward.,
Green Cape,Back,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Green Cape,No,No,FALSE,A classic cape in solid green. Green Guardian Loyalty reward.,
Lime Cape,Back,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Lime Cape,No,No,FALSE,A classic cape in solid lime. Lime Llamas Loyalty reward.,
Purple Cape,Back,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Purple Cape,No,No,FALSE,A classic cape in solid purple. Purple Pandas Loyalty reward.,
Pink Cape,Back,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Pink Cape,No,No,FALSE,A classic cape in solid pink.Pink Parrots Loyalty reward.,
Blue Cape,Back,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Blue Cape,No,No,FALSE,A classic cape in solid blue. Blue Bats Loyalty reward.,
Aqua Cape,Back,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Aqua Cape,No,No,FALSE,A classic cape in solid aqua. Aqua Axolotyl Loyalty reward.,
Cyan Cape,Back,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Cyan Cape,No,No,FALSE,A classic cape in solid cyan. Cyan Creepers Loyalty reward.,
Aqua,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Aqua,Yes,Yes,TRUE,Aqua Axolotyl Mascot,
Blue,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Blue,Yes,Yes,TRUE,Blue Bat Mascot,
Chicken,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Chicken,Yes,Yes,TRUE,A Chicken,
Clown,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Clown,Yes,Yes,TRUE,A Clown,
Cyan,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Cyan,Yes,Yes,TRUE,Cyan Creeper Mascot,
Flushed,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Flushed,Yes,Yes,TRUE,Flushed Smiley,
Green,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Green,Yes,Yes,TRUE,Green Guardian Mascot,
Imp,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Imp,Yes,Yes,TRUE,Evil Smiley,
Joy,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Joy,Yes,Yes,TRUE,Crying happy Smiley,
Laughing,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Laughing,Yes,Yes,TRUE,Laughing Smiley,
Lime,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Lime,Yes,Yes,TRUE,Lime Llama Mascot,
MCC Angry,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,MCC Angry,Yes,Yes,TRUE,Angry MCC Zombie,
MCC Smile,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,MCC Smile,Yes,Yes,TRUE,Smiling MCC Zombie,
Orange,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Orange,Yes,Yes,TRUE,Orange Ocelot Mascot,
Pink,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Pink,Yes,Yes,TRUE,Pink Parrot Mascot,
Purple,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Purple,Yes,Yes,TRUE,Purple Panda Mascot,
Red,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Red,Yes,Yes,TRUE,Red Rabbit Mascot,
Scream,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Scream,Yes,Yes,TRUE,Scared Smiley,
Skull,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Skull,Yes,Yes,TRUE,Skull,
Smile,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Smile,Yes,Yes,TRUE,Smiley,
Sunglasses,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Sunglasses,Yes,Yes,TRUE,Smiley with Sunglasses,
Sweat Smile,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Sweat Smile,Yes,Yes,TRUE,Sweating Smiley,
Thumbs Down,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Thumbs Down,Yes,Yes,TRUE,Thumbs Down,
Thumbs Up,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Thumbs Up,Yes,Yes,TRUE,Thumbs Up,
Tongue Out,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Tongue Out,Yes,Yes,TRUE,Smiley sticking its Ttongue out,
Yellow,Other,Special,---,---,No Currency,--- ,none,FALSE,FALSE,FALSE,Yes,,Yes,Yellow,Yes,Yes,TRUE,Yellow Yak Mascot,
TNT Bow,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,In Progress,,Yes,TNT Bow,No,No,FALSE,This will shoot a TNT block where the player is aiming which when landing will blow up and throw all nearby players away. This will not destroy blocks.,
Noxcrew Button,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Noxcrew Button,No,No,FALSE,Makes the Noxcrew sound effect.,
Letter Block,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Letter Block,No,No,FALSE,Places a block with a random letter on all sides. Lasts until destroyed or you use another gadget. Can be destroyed by any player with a single punch.,
Jump,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Jump,No,No,FALSE,Leap into the air with great height as though you were on a jump pad.,
Flippable Coin,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Flippable Coin,No,No,FALSE,Flips for Heads or Tails,
Chicken Egg,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Chicken Egg,No,No,FALSE,"When thrown, spawns a chicken at the target area. It behaves identically to a normal chicken and can be killed for no benefit.",
Fool's Gold,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Fool's Gold,No,No,FALSE,Throw a pile of coins as seen in Sands of Time. Coins disappear after 1 minute or until any player collects them. Coins do not provide any actual benefit.,
Fortune Teller,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Fortune Teller,No,No,FALSE,When right clicking this gadget there will be a random chat message with a Silly Fortune. This Gadget can be used once every 10 seconds.,
Tile Marker,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Tile Marker,No,No,FALSE,"Sets a blue marker as seen in Sands of time. May place up to 3. If you try to place a 4th, the first you placed will be replaced. Lasts 1 minute.",
Boomerang,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Boomerang,No,No,FALSE,"Right click this to throw it out in front of you, the item will act like a boomerang making a loop in front of the player and returning to them.",
Tic Tac Toe,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Tic Tac Toe,No,No,FALSE,Right click another player with this gadget to send then a request to play tic tac toe. If they accept you both get a small 3x3 menu where you play a game until someone wins/loses/draws. Players will receive feedback in chat depending on the result of the game.,
"Rock, Paper, Scissors",Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,"Rock, Paper, Scissors",No,No,FALSE,"Right click another player with this gadget to send them a request to play Rock, Paper, Scissors. If they accept you both get a small menu screen with 3 choices on both sides with the opponents being hidden by another block, After you have both made a choice the winner is revealed and this is a best of 3.",
Connect 4,Gadget,Common,150,30,---,$ 0.60 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Connect 4,No,No,FALSE,Right click another player with this gadget to send them a request to play Connect 4. If they accept you both get a Small menu where you can click a section along the bottom in which your colour drops in. Once somebody has 4 in a row the game ends and the winner is given as chat feedback.,
Chicken Launcher,Gadget,Uncommon,250,50,---,$ 1.00 ,gadgetStore,TRUE,TRUE,FALSE,In Progress,,Yes,Chicken Launcher,No,No,FALSE,This will launch a chicken at high speeds when right clicked. When the chicken hits a wall or goes to far away from the player it will explode into feathers.,
Chemical Toss,Gadget,Uncommon,250,50,---,$ 1.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Chemical Toss,No,No,FALSE,"Throw a potion at the targeted area. Affected players recieve a random buff or debuff affecting speed, jump height, or color for 10 seconds.",
Water Bend,Gadget,Uncommon,250,50,---,$ 1.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Water Bend,No,No,FALSE,Player holds a blue item and right clicks in order to send a large stream of blue particles in the direction they are facing.,
Fire Bend,Gadget,Uncommon,250,50,---,$ 1.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Fire Bend,No,No,FALSE,Same as water bend but with fire and an orange item.,
Air Bend,Gadget,Uncommon,250,50,---,$ 1.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Air Bend,No,No,FALSE,Same as water bend but with air and a white item.,
Toy Train,Gadget,Uncommon,250,50,---,$ 1.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Toy Train,No,No,FALSE,Spawns a trainset around the player where a small train goes around the track making a train noise while its travelling around.,
Fox Launcher,Gadget,Rare,"1,3",200,---,$ 4.00 ,gadgetStore,TRUE,TRUE,FALSE,In Progress,,Yes,Fox Launcher,No,No,FALSE,"Launch a fox where the player is looking. When the fox lands, 3 chickens will spawn around the fox which it will pounce upon killing all 3.",
One Punch Gadget,Gadget,Rare,"1,3",200,---,$ 4.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,One Punch Gadget,No,No,FALSE,"A ghast fireball will randomly fly towards you from a 90 degree angle from above. If the player punches if before it hits them another will fly towards them, until one hits them causing it to stop, their score will be reveled in chat to that player. (When they punch the fireball it will despawn not fly away)",
Mystery Potion,Gadget,Rare,"1,3",200,---,$ 4.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Mystery Potion,No,No,FALSE,"When drunk this gadget will give the player a random effect for 5 seconds. The effects include Levitation, Speed Boost, Jump Boost, Explode after drinking, Invisibility, Nothing and Teleport 20 blocks into the air.",
Mega Chicken,Gadget,Rare,"1,3",200,---,$ 4.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Mega Chicken,No,No,FALSE,"When right clicking this gadget a Mega Chicken (Same as the MCC dome item) will spawn and walk around saying random voicelines above it's head such as ""Where is Bingo But Fast?""",
Teleport Stick,Gadget,Rare,"1,3",200,---,$ 4.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Teleport Stick,No,No,FALSE,Teleport the player to the position they are looking at when right clicking the stick. Has a certain range limit on it.,
Jump Pad,Gadget,Rare,"1,3",200,---,$ 4.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Jump Pad,No,No,FALSE,Place a jump pad that leads straight into the air. Any player may jump on the pad to be launched high!,
Superhero,Gadget,Epic,"4,5",600,---,$ 12.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Superhero,No,No,FALSE,When right clicking this gadget the player will launch up into the area and come crashing down onto the ground causing block and particles to burst out around the player.,
Jetpack,Gadget,Epic,"4,5",600,---,$ 12.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Jetpack,No,No,FALSE,Propel the player up when right clicking the gadget. This will have a short cooldown as right clicking a lot will send the player much higher. Small fire particles will come from the bottom of the players back to resemble a jetpack.,
Rocket Ship,Gadget,Epic,"4,5",600,---,$ 12.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Rocket Ship,No,No,FALSE,"Spawn a small rocket ship and force the player inside and sitting down. The ship then launches into the air with the player. Once reaching a height limit, a parachute deploys and the player slowly falls down.",
Chicken Gun,Gadget,Legendary,18,"1,5",---,$ 30.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Chicken Gun,No,No,FALSE,Holds 64 chickens that refill 1 every 10 seconds. Allows you to throw chicken eggs in quick succession to flood the Hub!,
Pocket Dev,Gadget,Legendary,18,"1,5",---,$ 30.00 ,gadgetStore,TRUE,TRUE,FALSE,No,,No,Pocket Dev,No,No,FALSE,Spawn a copy of a random Noxcrew Developer that will follow you around for 1 minute and spout inspirational quotes.,
Trampoline,Gadget,Legendary,18,"1,5",---,$ 30.00 ,gadgetStore,TRUE,TRUE,FALSE,In Progress,,In Progress,Trampoline,No,No,FALSE,Spawns a Trampoline where the player is standing (If Possible). The player is then teleported up 3 blocks so they are on top of the trampoline. When stood on top this will bounce players into the air for around 30 seconds before despawning. Rewarded for playing Parkour Warrior.,
Wackable Fan,Gadget,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Wackable Fan,No,No,FALSE,"When used this gadget will spawn an NPC that looks like you that can be Whacked by other players. Above the name of this Whackable Fan it will say something along the lines of ""Whack Me!"" Rewarded for playing 100h of TGTTOSAWAF.",
Rocket Spleef Launcher,Gadget,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Rocket Spleef Launcher,No,No,FALSE,This will work the exact same as the Rocket Spleef Launcher from Rocket Spleef. It won't destroy block in the lobby but will boost players away from it. Rewarded for playing 100h of Rocket Spleef.,
Mini Hole in the Wall,Gadget,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Mini Hole in the Wall,No,No,FALSE,"When clicked a mini 5x4 slime wall will move towards the player, the players goal is to dodge the wall. Feedback will be provided in chat if they successfully avoided the wall. The player will be given jump boost 1 with this gadget. Rewarded for playing 100h of Hole in the Wall",
Duel!,Gadget,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Duel!,No,No,FALSE,When right clicked on another player this will send them a request to duel similar to how World of Warcraft does it. A countdown will begin on both players screens and after the countdown both players will be will fight will wooden swords until somebody is on half a heart. The winner will be announced in chat. Rewarded for playing 100h of Survival Games.,
Aqua Cap,Head,Common,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Aqua Cap,No,No,FALSE,An aqua baseball cap. Aqua Axolotyl Loyalty reward.,
Bandana,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Bandana,No,No,FALSE,A red bandana around the head. Think Rambo.,
Beret,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Beret,No,No,FALSE,A black beret with a small red puff on the top. [Found you!],
Big Mouth,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Big Mouth,No,No,FALSE,"[You like boasting, don't you?]",
Big Nose,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Big Nose,No,No,FALSE,[Warning: Try not to sneeze.],
