Item Name,Category,Rarity,Coin Price,Premium Price,Override,Dollar Price,Store(s),In Daily,In Weekly,In Static,Asset Created,Asset ID,Code Created,Cosmetic ID,Reviewed,Complete,Active,Description,Tooltip ID
Blindfold,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Blindfold,No,No,FALSE,[Fifty shades of complete darkness],
Blue Cap,Head,Common,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Blue Cap,No,No,FALSE,A bluebaseball cap. Blue Bat Loyalty reward.,
Braid,Head,Common,250,50,---,$ 1.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Braid,No,No,FALSE,Two long braids coil down the head and shoulders. [Bonding activity bonding.],
Bun,Head,Common,250,50,---,$ 1.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Bun,No,No,FALSE,A bun of hair on the back of your head. [Now i'm hungry.],
Curly,Head,Common,250,50,---,$ 1.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Curly,No,No,FALSE,A circular bob of curly hair. [The other two stooges couldn't make it.],
Cyan Cap,Head,Common,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Cyan Cap,No,No,FALSE,A cyan baseball cap. Cyan Creeper Loyalty reward.,
Disguise,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Disguise,No,No,FALSE,"Classic glasses, nose and moustached disguise. Groucho Marx. [Who are you?]",
Elder,Head,Common,250,50,---,$ 1.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Elder,No,No,FALSE,"A long, thin, white mustache and beard that extends to your character's belly. [Dr. Fu Manchu?]",
Full Beard,Head,Common,250,50,---,$ 1.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Full Beard,No,No,FALSE,A full beard and mustache. [Also called 'The Lumberjack.'],
Goatee,Head,Common,250,50,---,$ 1.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Goatee,No,No,FALSE,A goatee. [No relation to actual goats.],
Goggles,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Goggles,No,No,FALSE,[Perfect for mischief goblin welding!],
Green Cap,Head,Common,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Green Cap,No,No,FALSE,A green baseball cap. Green Guardian Loyalty reward.,
Lime Cap,Head,Common,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Lime Cap,No,No,FALSE,A lime baseball cap. Lime Llama Loyalty reward.,
Long Sleek Hair,Head,Common,250,50,---,$ 1.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Long Sleek Hair,No,No,FALSE,"Hair that starts at the back of your head and reaches the top of your bum. [98, 99, 100 brushes!]",
Magician,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,In Progress,,No,Magician,No,No,FALSE,A black magician's hat with a red stripe across the brim.,
Mobster,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Mobster,No,No,FALSE,A black fedora like that a gangster might wear. [Buy the hat. Or else!],
Monocle,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Monocle,No,No,FALSE,"[Monopoize the world, good sir!]",
Mutton Chops,Head,Common,250,50,---,$ 1.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Mutton Chops,No,No,FALSE,A beard that comes from the sides of the head to just before the chin on both sides. [Mutton!? I was excited for a minute...],
Nerdy,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Nerdy,No,No,FALSE,"[According to my calculations, this is the nerdiest cosmetic out there.]",
Night Mask,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Night Mask,No,No,FALSE,[Zzz],
Orange Cap,Head,Common,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Orange Cap,No,No,FALSE,An orange baseball cap. Orange Ocelot Loyalty Reward,
Pink Cap,Head,Common,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Pink Cap,No,No,FALSE,A pink baseball cap. Pink Parrot Loyalty reward.,
Ponytail,Head,Common,250,50,---,$ 1.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Ponytail,No,No,FALSE,A ponytail comes from the back of your head. [I was expecting a pony. I feel betrayed.],
Pop Star,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Pop Star,No,No,FALSE,[How do you even see through this?],
Potters,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Potters,No,No,FALSE,[Yerr a wizard Stevie!],
Purple Cap,Head,Common,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Purple Cap,No,No,FALSE,A purple baseball cap. Purple Panda Loyalty reward.,
Red Cap,Head,Common,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Red Cap,No,No,FALSE,A red baseball cap. Red Rabbit Loyalty reward.,
Ushanka,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Ushanka,No,No,FALSE,"A brown, furry hat that covers the sides of the head. [Excellent for cold weather.]",
Wave,Head,Common,250,50,---,$ 1.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Wave,No,No,FALSE,Shoulder lenght hair that curls up at its ends. [Smile and...],
Yellow Cap,Head,Common,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Yellow Cap,No,No,FALSE,A yellow baseball cap. Yellow Yak Loyalty Reward.,
Trucker Hat,Head,Common,250,50,---,$ 1.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Trucker Hat,No,No,FALSE,"Reads ""I <3 MCC."" [Look at my Trucker Hat.]",
Afro,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Afro,No,No,FALSE,My hair A large black mass of curly hair that extends above and around the head without covering the face. (May include a comb on top) [Surprisingly easy to maintain.],
Amish,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Amish,No,No,FALSE,A beard that comes from the sides of the head through the chin and around the neck. [Technology not included.],
Anime,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,mcc:island_cosmetic.head.anime,In Progress,Anime,No,No,FALSE,Embrace your inner sayyin. [I found the protagonist.],
Bangs,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Bangs,No,No,FALSE,Long hair goth girl haircut that covers the forehead. [Why are we still here? Just to suffer?],
Big Ears,Head,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Big Ears,No,No,FALSE,[Dumbo?],
Big Eyes,Head,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Big Eyes,No,No,FALSE,[Eye spy with my big I.],
Bob,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Bob,No,No,FALSE,A short bob with bangs. [Also called the Robert.],
Cornrows,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Cornrows,No,No,FALSE,"The hair is braided very close to the scalp, using an underhand, upward motion to make a continuous, raised row. [Please don't harvest.]",
Dad,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Dad,No,No,FALSE,"A balding scalp with some moustache to go with it. [Are ya winning, son?]",
Detective,Head,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Detective,No,No,FALSE,A cheshire cap like a certain Holmes might wear. [Someone stole the detective's hat! But he's on the case!],
Diva,Head,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Diva,No,No,FALSE,A large elegant ladies hat. [I said only green candies!],
Dreadlocks,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Dreadlocks,No,No,FALSE,Long braids of hair that flow around the entire head except the face. [Now with 20% more dread!],
Duct Taped,Head,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Duct Taped,No,No,FALSE,Two pieces of gray tape that cover your mouth in an X formation. [...],
Elvis,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Elvis,No,No,FALSE,A jiggily curl of hair that points in front of and above the head. Look to The King of Rock n Roll. [Thank you very much.],
Emo,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Emo,No,No,FALSE,Hair that covers one side of the face leaving the other exposed. [I'm just a kid.],
Fade,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Fade,No,No,FALSE,Casual hairstyle that fades down the sides of the head. [3 panels and it's gone.],
Graduate,Head,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Graduate,No,No,FALSE,"A black, square hat with a golden tassal to one side. [Highschool is out!]",
Handlebar Moustache,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Handlebar Moustache,No,No,FALSE,"A twisted mustache that goes off on both sides of the face. [Necessary for villains, ringleaders, and bike-riders.]",
Hogan,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Hogan,No,No,FALSE,"A square mustache that frame the mouth. [Fear no man, no beast or evil, brother]",
Mohawk,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Mohawk,No,No,FALSE,A thin rectangle of hair that goes down the center and back of the player's head. [Behold: The Hawk!],
Monk,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Monk,No,No,FALSE,A bowl cut with a hole on the scalp. [Om],
Palm Tree,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Palm Tree,No,No,FALSE,"A tree-like shape made out of your hair, resting on the top of your scalp. [Coconuts not included. Unless...!]",
Pigtails,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Pigtails,No,No,FALSE,Two ties of hair on either side of the head. [Such a cutie!],
Pilot's Hat,Head,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Pilot's Hat,No,No,FALSE,[Ready to fly?],
Prince Charming,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Prince Charming,No,No,FALSE,"Pristine shoulder height hair that is curled behind the ears together with some bangs that frame the face. [For the last time, you can't go around kissing sleeping women!]",
Purdy,Head,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Purdy,No,No,FALSE,[Pretty Funky],
Rat Tail,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Rat Tail,No,No,FALSE,A small tail that goes over your neck. [Dedicated to a rat who believed that anyone can cook.],
Soul Patch,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Soul Patch,No,No,FALSE,A think strap stuck to the chin. [Soul not necessary.],
Sun Shades,Head,Uncommon,375,75,---,$ 1.50 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Sun Shades,No,No,FALSE,"[Sun's out, Guns out!]",
Viking Beard Braids,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Viking Beard Braids,No,No,FALSE,A long beard with braids inside it. [Hinga Dinga Durgen],
Wizard Beard,Head,Uncommon,375,75,---,$ 1.50 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Wizard Beard,No,No,FALSE,A full white beard that ends in a fine point at the sternum. [8d6!? Count me in!],
Archer,Head,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Archer,No,No,FALSE,[Robbin' Hood?],
Barbarian,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Barbarian,No,No,FALSE,Long hair leading into two braids that rest over the shoulders. [YAAAAAARGH!],
Basic,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Basic,No,No,FALSE,[The hairstyle without the style.],
Bat Ears,Head,Rare,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Bat Ears,No,No,FALSE,A set of giant blue bat ears. Blue Bat Loyalty reward.,
Beetle,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Beetle,No,No,FALSE,Iconic 60s bowlcut rocker trim. [Fear and Love.],
Cat Ears & Whiskers,Head,Rare,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Cat Ears & Whiskers,No,No,FALSE,Twin cat ears sprout from your head. [Nya!] Orange Ocelot Loyalty Reward,
Cattle Horns,Head,Rare,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Cattle Horns,No,No,FALSE,Twin yellow yak horns sprout from your head. Yellow Yak Loyalty Reward.,
Chef,Head,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Chef,No,No,FALSE,[Cook some cookies],
Crown of Feathers,Head,Rare,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Crown of Feathers,No,No,FALSE,A pink rink of feathers surrounds your head. Pink Parrot Loyalty reward.,
Dynamite Strap,Head,Rare,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Dynamite Strap,No,No,FALSE,"A head lamp like what old miners would wear; but rather than a candle, there i a lit stick of dynamite on your head! Cyan Creeper Loyalty reward.",
Ear Antennas,Head,Rare,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Ear Antennas,No,No,FALSE,Aqua ferns sprout from your head. Aqua Axolotyl Loyalty reward.,
Fish Tail,Head,Rare,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Fish Tail,No,No,FALSE,"A green fish is stuck to your head! Its tail points behind you, and its mouth swallows the back of your head. Green Guardian Loyalty reward.",
Free Spirit,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Free Spirit,No,No,FALSE,"Bushy curly hair (disney brave) [If ye had the chance to change yer fate, would ye?]",
Fruit Basket,Head,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Fruit Basket,No,No,FALSE,[I get fruit! You get fruit! Everyone gets some fruit!],
High Top,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,High Top,No,No,FALSE,A tall boxy haircut that adds some extra height. [You got a haircut and wound up with this!?],
Hipster,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Hipster,No,No,FALSE,A man bun in combination with a full beard. [This haircut was cool before it was popular.],
Homeless,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Homeless,No,No,FALSE,A messy and dirty beard and haircut. [It's a lifestyle.],
Judge,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Judge,No,No,FALSE,[Do you yield?!],
Neck Fur,Head,Rare,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Neck Fur,No,No,FALSE,Green fur around the player's neck area. Lime Llama Loyalty reward.,
Pirate,Head,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Pirate,No,No,FALSE,[Arrrr!],
Rabbit Ears & Whiskers,Head,Rare,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Rabbit Ears & Whiskers,No,No,FALSE,Twin red rabbit ears sprout from your head. Red Rabbit Loyalty reward.,
Ranger,Head,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Ranger,No,No,FALSE,A brown cowboy hat. [Yeehaw],
Samurai Helmet,Head,Rare,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Samurai Helmet,No,No,FALSE,A woven basket helmet with purple panda ears sticking out of the top. Purple Panda Loyalty reward.,
Schrute,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Schrute,No,No,FALSE,[Identity theft is not a joke!],
Sombrero,Head,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Sombrero,No,No,FALSE,A whide-brimmed straw hat with multiple tassals. [Mariachi flashbacks intensify.],
Sultan,Head,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Sultan,No,No,FALSE,A massive turban covered with gems. [Kingdom sold seperately],
Sunbrella,Head,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Sunbrella,No,No,FALSE,An umbrella hat that protects the wearer from sun and rain!,
Twin Bun,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Twin Bun,No,No,FALSE,Twin Bun hairstyle. [Now i'm twice as hungry!],
Vanity,Head,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,In Progress,Vanity,No,No,FALSE,It makes your head look bigger. [Well you think you look great. And that's all that really matters.],
Wednesday,Head,Rare,975,150,---,$ 3.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Wednesday,No,No,FALSE,Mischievous with dark intent. Think Wednesday Addams. [Feeling pulled in a new direction? I think you like it.],
Deathwing,Head,Rare,975,150,---,$ 3.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Deathwing,No,No,FALSE,A metalic jaw bolted to the sides of your cheeks! Look at 'Deathwing' from World of Warcraft. [My hatred burns through the cavernous deeps.],
Axolotl Helmet,Head,Epic,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Axolotl Helmet,No,No,FALSE,"Looks exactly like the Aqua Axolotls logo, but a 3-dimensional helmet. Aqua Axolotyl Loyalty reward.",
Bat Helmet,Head,Epic,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Bat Helmet,No,No,FALSE,"Looks exactly like the Blue Bats logo, but a 3-dimensional helmet. Blue Bat Loyalty reward.",
Beehive,Head,Epic,"2,25",300,---,$ 6.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Beehive,No,No,FALSE,The column haircut. [Preferred to reference as the B-52 Strategic Bomber cut],
Caveman,Head,Epic,"2,25",300,---,$ 6.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Caveman,No,No,FALSE,Massive long hair with a massive long beard. [Unga bunga],
Creeper Helmet,Head,Epic,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Creeper Helmet,No,No,FALSE,"Looks exactly like the Cyan Creepers logo, but a 3-dimensional helmet. Cyan Creeper Loyalty reward.",
Dimmsdale,Head,Epic,"2,25",300,,$ 6.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Dimmsdale,No,No,FALSE,"An incredibly tall pearly white cowboy hat. [I'm Neal Noxite, owner of the Noxite Vox-Noxesium.]",
Guardian Helmet,Head,Epic,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Guardian Helmet,No,No,FALSE,"Looks exactly like the Green Guardians logo, but a 3-dimensional helmet. Green Guardian Loyalty reward.",
Llama Helmet,Head,Epic,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Llama Helmet,No,No,FALSE,"Looks exactly like the Lime Llamas logo, but a 3-dimensional helmet. Lime Llama Loyalty reward.",
Mr. Stealyogirl,Head,Epic,"2,25",300,---,$ 6.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Mr. Stealyogirl,No,No,FALSE,The pidgeotto haircut. [Imma be straight up.],
Ocelot Helmet,Head,Epic,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Ocelot Helmet,No,No,FALSE,"Looks exactly like the Orange Ocelot logo, but a 3-dimensional helmet. Orange Ocelot Loyalty Reward",
Panda Helmet,Head,Epic,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Panda Helmet,No,No,FALSE,"Looks exactly like the Purple Pandas logo, but a 3-dimensional helmet. Purple Panda Loyalty reward.",
Parrot Helmet,Head,Epic,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Parrot Helmet,No,No,FALSE,"Looks exactly like the Pink Parrots logo, but a 3-dimensional helmet. Pink Parrot Loyalty reward.",
Princess,Head,Epic,"2,25",300,---,$ 6.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Princess,No,No,FALSE,"Ram Hair (princess leia). [Help me, EpicLandlord. You're our only hope!]",
Professor,Head,Epic,"2,25",300,---,$ 6.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Professor,No,No,FALSE,"Messy scientist hair with thick mustache. [When you have a doctorate, your mom gives you permission to have any kind of hairstyle.]",
Rabbit Helmet,Head,Epic,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Rabbit Helmet,No,No,FALSE,"Looks exactly like the Red Rabbit logo, but a 3-dimensional helmet. Red Rabbit Loyalty reward.",
Soft Rocker,Head,Epic,"2,25",300,---,$ 6.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Soft Rocker,No,No,FALSE,Long flowing hair with a confident stache and beard. [Born to soothe.],
Spikes,Head,Epic,"2,25",300,---,$ 6.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Spikes,No,No,FALSE,[Anarchy!],
VR,Head,Epic,"2,25",300,---,$ 6.00 ,accessoryStore,TRUE,TRUE,FALSE,Yes,,No,VR,No,No,FALSE,A VR headset strapped to your head.,
Yak Helmet,Head,Epic,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Yak Helmet,No,No,FALSE,"Looks exactly like the Yellow Yak logo, but a 3-dimensional helmet. Yellow Yak Loyalty Reward.",
Cthulu,Head,Epic,"2,25",300,---,$ 6.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Cthulu,No,No,FALSE,A mass of tentacles spewing from the player's head. Maybe bat ears on the side of the head.,
Aqua Crown,Head,Legendary,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Aqua Crown,No,No,FALSE,,
Blue Crown,Head,Legendary,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Blue Crown,No,No,FALSE,,
Cyan Crown,Head,Legendary,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Cyan Crown,No,No,FALSE,,
Fanciest Hat,Head,Legendary,"7,2",600,,$ 12.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Fanciest Hat,No,No,FALSE,A purple wide-brim hat with an orange feather. [Perfection.],
Green Crown,Head,Legendary,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Green Crown,No,No,FALSE,,
Lime Crown,Head,Legendary,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Lime Crown,No,No,FALSE,,
Napoleon,Head,Legendary,"7,2",600,,$ 12.00 ,accessoryStore,TRUE,TRUE,FALSE,No,,No,Napoleon,No,No,FALSE,French army general hat like that of Napoleon.,
Noxstache,Head,Legendary,"7,2",600,---,$ 12.00 ,barberShop,FALSE,FALSE,TRUE,Yes,,In Progress,Noxstache,No,No,FALSE,An amazing piece of mustache resembling Noxite's. [Imitation is the sincerest form of flattery.],
Orange Crown,Head,Legendary,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Orange Crown,No,No,FALSE,,
Pink Crown,Head,Legendary,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Pink Crown,No,No,FALSE,,
Purple Crown,Head,Legendary,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Purple Crown,No,No,FALSE,,
Red Crown,Head,Legendary,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Red Crown,No,No,FALSE,,
Yellow Crown,Head,Legendary,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Yellow Crown,No,No,FALSE,,
Flower Wreath,Head,Special,---,---,No Currency,--- ,achievement,FALSE,FALSE,FALSE,No,,No,Flower Wreath,No,No,FALSE,A wreath of hawaiian flowers draped around the player's neck. Pretty pinks and blues. Given with a Welcome Bundle.,
